City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Airai,TL,-8.9266,125.4092,71.33,63,29,1.7,scattered clouds
236,Byron Bay,AU,-28.65,153.6167,71.49,88,100,1.74,overcast clouds
237,Grand Gaube,MU,-20.0064,57.6608,79.38,82,10,3.0,clear sky
238,Kruisfontein,ZA,-34.0033,24.7314,59.88,92,4,2.73,clear sky
239,Ndele,CF,8.4109,20.6473,75.15,14,87,5.93,overcast clouds
240,Mabaruma,GY,8.2,-59.7833,73.27,90,99,3.49,overcast clouds
241,Alto Araguaia,BR,-17.3147,-53.2153,69.98,96,100,2.26,overcast clouds
242,Rantauprapat,ID,2.1,99.8333,76.57,69,16,2.17,few clouds
243,Jojoima,SL,7.8792,-10.7878,72.77,96,100,1.28,light rain
244,Bilibino,RU,68.0546,166.4372,2.01,88,100,19.37,overcast clouds
245,Lazaro Cardenas,MX,17.9583,-102.2,76.5,54,36,7.07,scattered clouds
246,Hatta,IN,24.1167,79.6,75.61,13,6,2.82,clear sky
247,Sol-Iletsk,RU,51.1631,54.9918,19.56,99,67,8.95,broken clouds
248,Tchibanga,GA,-2.85,11.0333,72.23,99,100,3.65,moderate rain
249,Verkhoyansk,RU,67.5447,133.385,4.08,85,65,3.98,broken clouds
250,Katsuura,JP,35.1333,140.3,64.42,85,99,4.99,overcast clouds
251,Iranshahr,IR,27.2025,60.6848,71.94,30,0,4.61,clear sky
252,Mountmellick,IE,53.1136,-7.32,42.33,84,10,3.83,clear sky
253,Gusau,NG,12.1628,6.6614,77.86,11,12,15.21,few clouds
254,Zhangjiakou,CN,40.81,114.8794,34.97,20,0,12.93,clear sky
255,Mersing,MY,2.4312,103.8405,75.11,94,40,6.91,scattered clouds
256,Bukavu,CD,-2.5083,28.8608,60.3,94,100,0.67,overcast clouds
257,Rabat,MA,33.9911,-6.8401,56.05,97,40,0.0,mist
258,Hasaki,JP,35.7333,140.8333,64.8,78,100,15.1,overcast clouds
259,Hope,US,33.6671,-93.5916,73.45,65,0,4.36,clear sky
260,Terrak,NO,65.087,12.3715,33.67,92,100,7.74,light snow
261,Vardo,NO,70.3705,31.1107,27.12,61,100,26.24,light snow
262,Trincomalee,LK,8.5711,81.2335,78.55,87,10,7.67,clear sky
263,Abnub,EG,27.2696,31.1511,53.82,27,0,8.1,clear sky
264,Naples,IT,40.8333,14.25,63.14,44,100,4.0,overcast clouds
265,Okhotsk,RU,59.3833,143.3,12.65,79,11,4.76,few clouds
266,Ahipara,NZ,-35.1667,173.1667,70.34,63,42,9.75,scattered clouds
267,Singaparna,ID,-7.3515,108.111,77.38,76,100,0.29,overcast clouds
268,Kalmunai,LK,7.4167,81.8167,77.16,88,1,5.46,clear sky
269,Baruun-Urt,MN,46.6806,113.2792,26.8,22,0,11.65,clear sky
270,Shimoda,JP,34.6667,138.95,66.56,82,68,5.75,broken clouds
271,Terrace,CA,54.5163,-128.6035,44.51,81,100,3.44,overcast clouds
272,Chernyshevskiy,RU,63.0128,112.4714,9.91,96,100,2.53,overcast clouds
273,Fenton,US,42.7978,-83.7049,30.18,77,100,19.57,overcast clouds
274,Las Palmas,ES,28.4204,-14.0131,61.59,82,0,10.36,clear sky
275,Brusciano,IT,40.9232,14.4239,63.05,49,100,4.45,overcast clouds
276,Sorland,NO,67.667,12.6934,32.14,93,100,19.57,light snow
277,Oranjemund,NA,-28.55,16.4333,59.16,79,0,3.67,clear sky
278,Forbes,AU,-33.3833,148.0167,68.2,55,100,8.95,moderate rain
